DATE,REAINTRATREARAT1MO
2014-01-01,-1.5478314
2014-02-01,-1.5635614
2014-03-01,-0.42535938
2014-04-01,-1.5762717
2014-05-01,-1.9455223
2014-06-01,-1.2489045
2014-07-01,-2.3276648
2014-08-01,-1.6962802
2014-09-01,-2.7750602
2014-10-01,-1.1536381
2014-11-01,-0.03939777
2014-12-01,-2.8651877
2015-01-01,2.172698
2015-02-01,3.2782794
2015-03-01,2.0466022
2015-04-01,-0.86559155
2015-05-01,-1.2394242
2015-06-01,-1.5652939
2015-07-01,-1.6937265
2015-08-01,-1.5692309
2015-09-01,-2.1751632
2015-10-01,-0.44531306
2015-11-01,-0.39195536
2015-12-01,-0.70468397
2016-01-01,-0.78236013
2016-02-01,0.33664793
2016-03-01,1.3702959
2016-04-01,-1.1806475
2016-05-01,-1.3014055
2016-06-01,-0.01428062
2016-07-01,-1.5983681
2016-08-01,-1.5136291
2016-09-01,-2.8993126
2016-10-01,-1.9477594
2016-11-01,-2.442014
2016-12-01,-3.2772493
2017-01-01,-2.1329178
2017-02-01,-1.6788545
2017-03-01,0.22449915
2017-04-01,-0.42025822
2017-05-01,-0.06024217
2017-06-01,1.8218401
2017-07-01,-0.38836788
2017-08-01,-0.19089195
2017-09-01,-1.3402625
2017-10-01,-1.0140686
2017-11-01,-1.2797132
2017-12-01,-3.6507025
2018-01-01,-0.53480206
2018-02-01,-0.99863461
2018-03-01,0.64652158
2018-04-01,0.27909196
2018-05-01,0.01592731
2018-06-01,1.1959679
2018-07-01,-0.32256901
2018-08-01,-0.26396818
2018-09-01,-1.0788958
2018-10-01,-0.22651582
2018-11-01,0.14588857
2018-12-01,0.84780267
2019-01-01,1.2615863
2019-02-01,1.2625771
2019-03-01,2.2725069
2019-04-01,0.15382341
2019-05-01,-0.29466304
2019-06-01,1.2141905
2019-07-01,0.58001141
2019-08-01,0.5125873
2019-09-01,0.43911591
2019-10-01,0.03385316
2019-11-01,-0.12344368
2019-12-01,-0.10583375
2020-01-01,-0.52515423
2020-02-01,-0.22326614
2020-03-01,2.8481689
2020-04-01,4.3649579
2020-05-01,4.6591852
2020-06-01,2.4842483
2020-07-01,-0.93998818
2020-08-01,-1.6547913
2020-09-01,-1.5776097
2020-10-01,-1.161128
2020-11-01,-1.332963
2020-12-01,-2.1366724
2021-01-01,-1.6267813
2021-02-01,-2.3774827
2021-03-01,-1.4716878
2021-04-01,-1.7308047
2021-05-01,-2.1760881
2021-06-01,-2.5729172
2021-07-01,-2.7464754
2021-08-01,-4.3673786
2021-09-01,-5.1603864
2021-10-01,-2.1549811
2021-11-01,-3.8288699
2021-12-01,-4.4547586
2022-01-01,-3.265321
2022-02-01,-4.1262917
2022-03-01,-4.8164441
2022-04-01,-5.5981639
2022-05-01,-5.8570625
2022-06-01,-7.1029063
2022-07-01,-3.5535225
2022-08-01,-3.0568424
2022-09-01,-5.0564448
2022-10-01,-0.36611278
2022-11-01,-0.45065367
2022-12-01,0.83507693
2023-01-01,1.8178994
2023-02-01,1.9824129
2023-03-01,4.1516039
2023-04-01,1.8450967
2023-05-01,1.6076727
2023-06-01,6.0046323
2023-07-01,2.8543895
2023-08-01,3.1003134
2023-09-01,2.4923363
2023-10-01,3.0053413
2023-11-01,2.9075682
2023-12-01,1.5386943
2024-01-01,3.5116119
